index,index,1. open,2. high,3. low,4. close,5. volume
88,2021-11-02 15:45:00,20.085,20.1,20.085,20.099,900.0
89,2021-11-02 15:43:00,20.0761,20.0761,20.0761,20.0761,461.0
90,2021-11-02 15:42:00,20.085,20.085,20.085,20.085,120.0
91,2021-11-02 15:41:00,20.0857,20.0857,20.0857,20.0857,2500.0
92,2021-11-02 15:40:00,20.08,20.08,20.08,20.08,511.0
93,2021-11-02 15:38:00,20.1,20.1,20.1,20.1,150.0
94,2021-11-02 15:37:00,20.09,20.09,20.09,20.09,100.0
95,2021-11-02 15:34:00,20.075,20.089,20.075,20.089,611.0
96,2021-11-02 15:32:00,20.075,20.09,20.075,20.09,400.0
97,2021-11-02 15:31:00,20.089,20.089,20.089,20.089,205.0
98,2021-11-02 15:30:00,20.075,20.075,20.075,20.075,610.0
99,2021-11-02 15:29:00,20.09,20.09,20.09,20.09,825.0
100,2021-11-02 15:27:00,20.075,20.075,20.075,20.075,100.0
101,2021-11-02 15:25:00,20.0661,20.0661,20.0661,20.0661,200.0
102,2021-11-02 15:23:00,20.0631,20.089,20.0631,20.089,570.0
103,2021-11-02 15:20:00,20.0661,20.0661,20.0661,20.0661,171.0
104,2021-11-02 15:18:00,20.089,20.09,20.075,20.075,925.0
105,2021-11-02 15:17:00,20.075,20.089,20.075,20.089,1500.0
106,2021-11-02 15:15:00,20.089,20.089,20.089,20.089,777.0
107,2021-11-02 15:14:00,20.075,20.075,20.075,20.075,310.0
108,2021-11-02 15:13:00,20.09,20.09,20.09,20.09,672.0
109,2021-11-02 15:12:00,20.075,20.075,20.075,20.075,301.0
110,2021-11-02 15:09:00,20.0581,20.0581,20.0581,20.0581,258.0
111,2021-11-02 15:05:00,20.089,20.089,20.089,20.089,305.0
112,2021-11-02 15:03:00,20.0685,20.0685,20.0685,20.0685,705.0
113,2021-11-02 15:02:00,20.088,20.088,20.088,20.088,563.0
114,2021-11-02 15:00:00,20.089,20.089,20.089,20.089,900.0
115,2021-11-02 14:58:00,20.085,20.09,20.085,20.09,7123.0
116,2021-11-02 14:57:00,20.085,20.09,20.085,20.09,1966.0
117,2021-11-02 14:56:00,20.085,20.085,20.085,20.085,500.0
118,2021-11-02 14:55:00,20.085,20.085,20.085,20.085,450.0
119,2021-11-02 14:53:00,20.08,20.08,20.08,20.08,564.0
120,2021-11-02 14:52:00,20.08,20.08,20.08,20.08,165.0
121,2021-11-02 14:51:00,20.085,20.085,20.08,20.08,202.0
122,2021-11-02 14:50:00,20.08,20.08,20.08,20.08,300.0
123,2021-11-02 14:48:00,20.09,20.09,20.09,20.09,1505.0
124,2021-11-02 14:44:00,20.0581,20.0581,20.0581,20.0581,230.0
125,2021-11-02 14:42:00,20.08,20.08,20.08,20.08,355.0
126,2021-11-02 14:36:00,20.0639,20.0639,20.0639,20.0639,895.0
127,2021-11-02 14:34:00,20.075,20.075,20.075,20.075,230.0
128,2021-11-02 14:33:00,20.07,20.085,20.07,20.0775,1100.0
129,2021-11-02 14:31:00,20.07,20.07,20.07,20.07,337.0
130,2021-11-02 14:28:00,20.079,20.079,20.079,20.079,130.0
131,2021-11-02 14:27:00,20.08,20.08,20.08,20.08,135.0
132,2021-11-02 14:25:00,20.0561,20.0561,20.0561,20.0561,112.0
133,2021-11-02 14:23:00,20.08,20.08,20.08,20.08,250.0
134,2021-11-02 14:21:00,20.08,20.09,20.075,20.08,11353.0
135,2021-11-02 14:20:00,20.07,20.08,20.0557,20.08,2228.0
136,2021-11-02 14:19:00,20.07,20.07,20.07,20.07,2324.0
137,2021-11-02 14:18:00,20.07,20.07,20.07,20.07,1950.0
138,2021-11-02 14:17:00,20.06,20.07,20.06,20.07,2160.0
139,2021-11-02 14:16:00,20.06,20.06,20.06,20.06,1050.0
140,2021-11-02 14:15:00,20.06,20.06,20.06,20.06,700.0
141,2021-11-02 14:14:00,20.06,20.06,20.06,20.06,935.0
142,2021-11-02 14:13:00,20.06,20.06,20.055,20.055,1300.0
143,2021-11-02 14:12:00,20.055,20.055,20.055,20.055,287.0
144,2021-11-02 14:09:00,20.05,20.06,20.05,20.06,1391.0
145,2021-11-02 14:08:00,20.065,20.065,20.06,20.06,381.0
146,2021-11-02 14:06:00,20.07,20.07,20.0621,20.0621,449.0
147,2021-11-02 14:04:00,20.0625,20.07,20.06,20.07,6100.0
148,2021-11-02 13:58:00,20.0557,20.0557,20.0557,20.0557,138.0
149,2021-11-02 13:51:00,20.06,20.06,20.06,20.06,100.0
150,2021-11-02 13:49:00,20.06,20.06,20.06,20.06,108.0
151,2021-11-02 13:47:00,20.0521,20.0521,20.0521,20.0521,123.0
152,2021-11-02 13:40:00,20.06,20.06,20.06,20.06,374.0
153,2021-11-02 13:36:00,20.065,20.065,20.065,20.065,100.0
154,2021-11-02 13:34:00,20.0601,20.0601,20.0601,20.0601,500.0
155,2021-11-02 13:32:00,20.064,20.064,20.064,20.064,317.0
156,2021-11-02 13:30:00,20.065,20.065,20.065,20.065,750.0
157,2021-11-02 13:27:00,20.07,20.07,20.06,20.065,1188.0
158,2021-11-02 13:26:00,20.07,20.07,20.07,20.07,1400.0
159,2021-11-02 13:24:00,20.0657,20.0657,20.0657,20.0657,200.0
160,2021-11-02 13:23:00,20.06,20.07,20.06,20.07,938.0
161,2021-11-02 13:18:00,20.0621,20.0621,20.0621,20.0621,320.0
162,2021-11-02 13:14:00,20.07,20.07,20.07,20.07,125.0
163,2021-11-02 13:09:00,20.07,20.07,20.07,20.07,199.0
164,2021-11-02 13:08:00,20.07,20.07,20.07,20.07,175.0
165,2021-11-02 13:06:00,20.07,20.07,20.07,20.07,150.0
166,2021-11-02 13:04:00,20.065,20.07,20.065,20.07,449.0
